"DR2TP204.Code.or.Value","DR2TP204.Value.Description","DR2TP204.Count","DR2TP204.Cumulative","DR2TP204.Skip.to.Item"
"0 to 1.935","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
