"DSD128GG.Code.or.Value","DSD128GG.Value.Description","DSD128GG.Count","DSD128GG.Cumulative","DSD128GG.Skip.to.Item"
"41","FOR ANTIOXIDANTS",5,5,NA
".","Missing",8264,8269,NA
