"LBXF13.Code.or.Value","LBXF13.Value.Description","LBXF13.Count","LBXF13.Cumulative","LBXF13.Skip.to.Item"
"0.25 to 1000","Range of Values",8306,8306,NA
".","Missing",1134,9440,NA
