"URX2DC.Code.or.Value","URX2DC.Value.Description","URX2DC.Count","URX2DC.Cumulative","URX2DC.Skip.to.Item"
"3.32 to 8.97","Range of Values",2420,2420,NA
".","Missing",185,2605,NA
