"DS2ICAFF.Code.or.Value","DS2ICAFF.Value.Description","DS2ICAFF.Count","DS2ICAFF.Cumulative","DS2ICAFF.Skip.to.Item"
"40 to 75","Range of Values",2,2,NA
".","Missing",5646,5648,NA
