"DXXNKA.Code.or.Value","DXXNKA.Value.Description","DXXNKA.Count","DXXNKA.Cumulative","DXXNKA.Skip.to.Item"
"2.27 to 8.3","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
