"LBXF08LA.Code.or.Value","LBXF08LA.Value.Description","LBXF08LA.Count","LBXF08LA.Cumulative","LBXF08LA.Skip.to.Item"
"1.1 to 306","Range of Values",1709,1709,NA
".","Missing",565,2274,NA
