"DSDCOUNT.Code.or.Value","DSDCOUNT.Value.Description","DSDCOUNT.Count","DSDCOUNT.Cumulative","DSDCOUNT.Skip.to.Item"
"0 to 20","Range of Values",10529,10529,NA
"77","Refused",2,10531,NA
"99","Don't know",5,10536,NA
".","Missing",1,10537,NA
