"BPXSY1.Code.or.Value","BPXSY1.Value.Description","BPXSY1.Count","BPXSY1.Cumulative","BPXSY1.Skip.to.Item"
"74 to 270","Range of Values",6668,6668,NA
".","Missing",3282,9950,NA
