"DXXTSBMC.Code.or.Value","DXXTSBMC.Value.Description","DXXTSBMC.Count","DXXTSBMC.Cumulative","DXXTSBMC.Skip.to.Item"
"19 to 257.54","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
