"DRD350C.Code.or.Value","DRD350C.Value.Description","DRD350C.Count","DRD350C.Cumulative","DRD350C.Skip.to.Item"
"1","Yes",69,69,""
"2","No",3264,3333,"DRD350D"
".","Missing",5949,9282,""
