"LBX118LA.Code.or.Value","LBX118LA.Value.Description","LBX118LA.Count","LBX118LA.Cumulative","LBX118LA.Skip.to.Item"
"0.7 to 354","Range of Values",1887,1887,NA
".","Missing",398,2285,NA
