"DXXRALI.Code.or.Value","DXXRALI.Value.Description","DXXRALI.Count","DXXRALI.Cumulative","DXXRALI.Skip.to.Item"
"662.7 to 7813.5","Range of Values",4684,4684,NA
".","Missing",1008,5692,NA
