"LBDBR2LC.Code.or.Value","LBDBR2LC.Value.Description","LBDBR2LC.Count","LBDBR2LC.Cumulative","LBDBR2LC.Skip.to.Item"
"0","At or above the detection limit",294,294,NA
"1","Below lower detection limit",6,300,NA
".","Missing",1,301,NA
