"DBQ235A.Code.or.Value","DBQ235A.Value.Description","DBQ235A.Count","DBQ235A.Cumulative","DBQ235A.Skip.to.Item"
"0","Never",69,69,NA
"1","Rarely-less than once a week",167,236,NA
"2","Sometimes-once a week or more, but less than once a day",365,601,NA
"3","Often-once a day or more",3249,3850,NA
"4","Varied",16,3866,NA
"7","Refused",0,3866,NA
"9","Don't know",37,3903,NA
".","Missing",6219,10122,NA
