"DLQ170.Code.or.Value","DLQ170.Value.Description","DLQ170.Count","DLQ170.Cumulative","DLQ170.Skip.to.Item"
"1","A little",1457,1457,NA
"2","A lot",473,1930,NA
"3","Somewhere in between a little and a lot",1095,3025,NA
"7","Refused",0,3025,NA
"9","Don't know",12,3037,NA
".","Missing",5861,8898,NA
