"MCQ160D.Code.or.Value","MCQ160D.Value.Description","MCQ160D.Count","MCQ160D.Cumulative","MCQ160D.Skip.to.Item"
"1","Yes",164,164,""
"2","No",5749,5913,"MCQ160E"
"7","Refused",0,5913,"MCQ160E"
"9","Don't know",22,5935,"MCQ160E"
".","Missing",3731,9666,""
