"DR1ILYCO.Code.or.Value","DR1ILYCO.Value.Description","DR1ILYCO.Count","DR1ILYCO.Cumulative","DR1ILYCO.Skip.to.Item"
"0 to 92679","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
