"DR1IVB6.Code.or.Value","DR1IVB6.Value.Description","DR1IVB6.Count","DR1IVB6.Cumulative","DR1IVB6.Skip.to.Item"
"0 to 35.067","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
