"DXDSTA.Code.or.Value","DXDSTA.Value.Description","DXDSTA.Count","DXDSTA.Cumulative","DXDSTA.Skip.to.Item"
"841.03 to 2604.47","Range of Values",4445,4445,NA
".","Missing",1247,5692,NA
