"DUQ310Q.Code.or.Value","DUQ310Q.Value.Description","DUQ310Q.Count","DUQ310Q.Cumulative","DUQ310Q.Skip.to.Item"
"0 to 40","Range of Values",124,124,NA
"7777","Refused",1,125,NA
"9999","Don't know",0,125,NA
".","Missing",5177,5302,NA
