"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.214 to 92.5","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
