"LBXSGL.Code.or.Value","LBXSGL.Value.Description","LBXSGL.Count","LBXSGL.Cumulative","LBXSGL.Skip.to.Item"
"19 to 610","Range of Values",6257,6257,NA
".","Missing",487,6744,NA
