"RHQ576U.Code.or.Value","RHQ576U.Value.Description","RHQ576U.Count","RHQ576U.Cumulative","RHQ576U.Skip.to.Item"
"1","Months",32,32,NA
"2","Years",86,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",3747,3865,NA
