"DR2ILYCO.Code.or.Value","DR2ILYCO.Value.Description","DR2ILYCO.Count","DR2ILYCO.Cumulative","DR2ILYCO.Skip.to.Item"
"0 to 106433","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
