"DS2IPOTA.Code.or.Value","DS2IPOTA.Value.Description","DS2IPOTA.Count","DS2IPOTA.Cumulative","DS2IPOTA.Skip.to.Item"
"0.00969 to 3120","Range of Values",1100,1100,NA
".","Missing",4803,5903,NA
