"DR1IS100.Code.or.Value","DR1IS100.Value.Description","DR1IS100.Count","DR1IS100.Cumulative","DR1IS100.Skip.to.Item"
"0 to 4.163","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
