"PAQ655.Code.or.Value","PAQ655.Value.Description","PAQ655.Count","PAQ655.Cumulative","PAQ655.Skip.to.Item"
"1 to 7","Range of Values",2056,2056,""
"77","Refused",0,2056,"PAQ665"
"99","Don't know",2,2058,"PAQ665"
".","Missing",7426,9484,""
