"DXXRRBMC.Code.or.Value","DXXRRBMC.Value.Description","DXXRRBMC.Count","DXXRRBMC.Cumulative","DXXRRBMC.Skip.to.Item"
"18.32 to 211.89","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
