"LBDAPBSI.Code.or.Value","LBDAPBSI.Value.Description","LBDAPBSI.Count","LBDAPBSI.Cumulative","LBDAPBSI.Skip.to.Item"
"0.23 to 2.53","Range of Values",3097,3097,NA
".","Missing",218,3315,NA
