"DR2IATOA.Code.or.Value","DR2IATOA.Value.Description","DR2IATOA.Count","DR2IATOA.Cumulative","DR2IATOA.Skip.to.Item"
"0 to 44.75","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
