"LBC146LA.Code.or.Value","LBC146LA.Value.Description","LBC146LA.Count","LBC146LA.Cumulative","LBC146LA.Skip.to.Item"
"0.1273 to 29.39","Range of Values",288,288,NA
".","Missing",13,301,NA
