"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.05 to 556.6","Range of Values",2465,2465,NA
".","Missing",82,2547,NA
