"URDBPHLC.Code.or.Value","URDBPHLC.Value.Description","URDBPHLC.Count","URDBPHLC.Cumulative","URDBPHLC.Skip.to.Item"
"0","At or above the detection limit",2578,2578,NA
"1","Below lower detection limit",108,2686,NA
".","Missing",91,2777,NA
