"WTSSE2Y.Code.or.Value","WTSSE2Y.Value.Description","WTSSE2Y.Count","WTSSE2Y.Cumulative","WTSSE2Y.Skip.to.Item"
"6744.330171 to 131113.34923","Range of Values",1844,1844,NA
"0","No lab specimen",0,1844,NA
".","Missing",0,1844,NA
