"PHDSESN.Code.or.Value","PHDSESN.Value.Description","PHDSESN.Count","PHDSESN.Cumulative","PHDSESN.Skip.to.Item"
"0","morning",4233,4233,NA
"1","afternoon",3294,7527,NA
"2","evening",1429,8956,NA
".","Missing",0,8956,NA
