"AUXRR154.Code.or.Value","AUXRR154.Value.Description","AUXRR154.Count","AUXRR154.Cumulative","AUXRR154.Skip.to.Item"
"-20 to 35","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
