"MCQ370b.Code.or.Value","MCQ370b.Value.Description","MCQ370b.Count","MCQ370b.Cumulative","MCQ370b.Skip.to.Item"
"1","Yes",3816,3816,NA
"2","No",2647,6463,NA
"7","Refused",1,6464,NA
"9","Don't know",0,6464,NA
".","Missing",3306,9770,NA
