"URXMOP.Code.or.Value","URXMOP.Value.Description","URXMOP.Count","URXMOP.Cumulative","URXMOP.Skip.to.Item"
"1.3067 to 44.184","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
