"DXXINBMD.Code.or.Value","DXXINBMD.Value.Description","DXXINBMD.Count","DXXINBMD.Cumulative","DXXINBMD.Skip.to.Item"
"0.389 to 1.802","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
