"URXUDMA.Code.or.Value","URXUDMA.Value.Description","URXUDMA.Count","URXUDMA.Cumulative","URXUDMA.Skip.to.Item"
"1.27 to 136","Range of Values",2277,2277,NA
".","Missing",72,2349,NA
