"DSQIVK.Code.or.Value","DSQIVK.Value.Description","DSQIVK.Count","DSQIVK.Cumulative","DSQIVK.Skip.to.Item"
"1 to 2000","Range of Values",1292,1292,NA
".","Missing",6977,8269,NA
