"DX2STTOT.Code.or.Value","DX2STTOT.Value.Description","DX2STTOT.Count","DX2STTOT.Cumulative","DX2STTOT.Skip.to.Item"
"36199.3 to 125766.3","Range of Values",414,414,NA
".","Missing",71,485,NA
