"RFXC067.Code.or.Value","RFXC067.Value.Description","RFXC067.Count","RFXC067.Cumulative","RFXC067.Skip.to.Item"
"-7.553 to 5.229","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
