"AGQ030.Code.or.Value","AGQ030.Value.Description","AGQ030.Count","AGQ030.Cumulative","AGQ030.Skip.to.Item"
"1","Yes",1139,1139,NA
"2","No",8485,9624,NA
"7","Refused",0,9624,NA
"9","Don't know",42,9666,NA
".","Missing",0,9666,NA
