"URXMU6.Code.or.Value","URXMU6.Value.Description","URXMU6.Count","URXMU6.Cumulative","URXMU6.Skip.to.Item"
"0.04 to 44.5","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
