"OHD12LAM.Code.or.Value","OHD12LAM.Value.Description","OHD12LAM.Count","OHD12LAM.Cumulative","OHD12LAM.Skip.to.Item"
"0 to 10","Range of Values",1405,1405,NA
"99","Calculation cannot be determined",411,1816,NA
".","Missing",4942,6758,NA
