"DR2TLZ.Code.or.Value","DR2TLZ.Value.Description","DR2TLZ.Count","DR2TLZ.Cumulative","DR2TLZ.Skip.to.Item"
"0 to 182931","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
