"AUXU500R.Code.or.Value","AUXU500R.Value.Description","AUXU500R.Count","AUXU500R.Cumulative","AUXU500R.Skip.to.Item"
"-10 to 90","Range of Values",3851,3851,NA
"666","No response",1,3852,NA
"888","Could not obtain",17,3869,NA
".","Missing",631,4500,NA
