"LBDRUIU.Code.or.Value","LBDRUIU.Value.Description","LBDRUIU.Count","LBDRUIU.Cumulative","LBDRUIU.Skip.to.Item"
"1 to 291","Range of Values",5113,5113,NA
".","Missing",550,5663,NA
