"DS1TKCAL.Code.or.Value","DS1TKCAL.Value.Description","DS1TKCAL.Count","DS1TKCAL.Cumulative","DS1TKCAL.Skip.to.Item"
"1 to 675","Range of Values",1317,1317,NA
".","Missing",8496,9813,NA
