"AUQ410h.Code.or.Value","AUQ410h.Value.Description","AUQ410h.Count","AUQ410h.Cumulative","AUQ410h.Skip.to.Item"
"8","Noise exposure, long-term (machinery, etc.)",188,188,NA
".","Missing",8709,8897,NA
