"LBXSF1SI.Code.or.Value","LBXSF1SI.Value.Description","LBXSF1SI.Count","LBXSF1SI.Cumulative","LBXSF1SI.Skip.to.Item"
"3.03 to 331","Range of Values",8455,8455,NA
".","Missing",967,9422,NA
