"LBXHCT.Code.or.Value","LBXHCT.Value.Description","LBXHCT.Count","LBXHCT.Cumulative","LBXHCT.Skip.to.Item"
"0.011 to 1150","Range of Values",8029,8029,NA
".","Missing",884,8913,NA
