"DS2ILYCO.Code.or.Value","DS2ILYCO.Value.Description","DS2ILYCO.Count","DS2ILYCO.Cumulative","DS2ILYCO.Skip.to.Item"
"40 to 50000","Range of Values",627,627,NA
".","Missing",5276,5903,NA
