"RFXT120.Code.or.Value","RFXT120.Value.Description","RFXT120.Count","RFXT120.Cumulative","RFXT120.Skip.to.Item"
"1044 to 1052","Range of Values",33684,33684,NA
".","Missing",37,33721,NA
