"WTSPH40.Code.or.Value","WTSPH40.Value.Description","WTSPH40.Count","WTSPH40.Cumulative","WTSPH40.Skip.to.Item"
"0 to 787966.00414","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
