"DXXRLFAT.Code.or.Value","DXXRLFAT.Value.Description","DXXRLFAT.Count","DXXRLFAT.Cumulative","DXXRLFAT.Skip.to.Item"
"515 to 19738.6","Range of Values",4853,4853,NA
".","Missing",927,5780,NA
