"DR2TPOTA.Code.or.Value","DR2TPOTA.Value.Description","DR2TPOTA.Count","DR2TPOTA.Cumulative","DR2TPOTA.Skip.to.Item"
"0 to 10419","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
