"DS2IPOTA.Code.or.Value","DS2IPOTA.Value.Description","DS2IPOTA.Count","DS2IPOTA.Cumulative","DS2IPOTA.Skip.to.Item"
"0.04 to 1950","Range of Values",708,708,NA
".","Missing",4890,5598,NA
