"DS2ICOPP.Code.or.Value","DS2ICOPP.Value.Description","DS2ICOPP.Count","DS2ICOPP.Cumulative","DS2ICOPP.Skip.to.Item"
"0.0002 to 16","Range of Values",1474,1474,NA
".","Missing",4174,5648,NA
