"HCQ180.Code.or.Value","HCQ180.Value.Description","HCQ180.Count","HCQ180.Cumulative","HCQ180.Skip.to.Item"
"1","True",33,33,NA
"2","False",1,34,NA
"7","Refused",0,34,NA
"9","Don't know",0,34,NA
".","Missing",44,78,NA
