"LBXV2T.Code.or.Value","LBXV2T.Value.Description","LBXV2T.Count","LBXV2T.Cumulative","LBXV2T.Skip.to.Item"
"0.0071 to 0.825","Range of Values",3241,3241,NA
".","Missing",504,3745,NA
