"SSPV3.Code.or.Value","SSPV3.Value.Description","SSPV3.Count","SSPV3.Cumulative","SSPV3.Skip.to.Item"
"2.5 to 10.5","Range of Values",4254,4254,NA
".","Missing",0,4254,NA
